"uniqueIDsite","unIDyearSite","uniqueIDYear","uniqueID","site","year","block","row","treat","seedl_nr","height","diam_mm","dateYear","mort_date","notes","mortality","mort_binar","waxQual","damage","percentDebark","waxHeight_cm","rootCol","origNotes","mort2","rank","sumDamage","sumMort","ZeroDam","bxcx.x.t","bxcx.x","x.t","x","mean","sd","n","norm_stat","standardize"
"B1R1controlS10 clearcut","B1R1controlS10_2020_clearcut","B1R1controlS10_2020","B1R1controlS10","clearcut",2020,1,1,"control",10,47,13.8,2020,0,"alive","alive",0,0,150,0,0,"","terminal",0,1,630,0,1,-0.1627477737364,150,-0.116052232879533,150,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS2 clearcut","B1R1controlS2_2018_clearcut","B1R1controlS2_2018","B1R1controlS2","clearcut",2018,1,1,"control",2,27,4.5,2018,0,"alive","alive",0,0,20,10,0,"","alive",0,1,270,1,1,-1.53467478118777,20,-1.5946342159955,20,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS2 clearcut","B1R1controlS2_2019_clearcut","B1R1controlS2_2019","B1R1controlS2","clearcut",2019,1,1,"control",2,0,NA,2019,2019,"Hylobius","dead",1,0,250,100,0,"","Hylobius",1,1,270,1,1,0.216469801751026,250,0.25891222405536,250,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS3 clearcut","B1R1controlS3_2018_clearcut","B1R1controlS3_2018","B1R1controlS3","clearcut",2018,1,1,"control",3,0,NA,2018,2018,"Hylobius","dead",1,0,720,100,0,"","Hylobius",1,1,720,1,1,1.04556914671249,720,1.03537672998798,720,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS4 clearcut","B1R1controlS4_2018_clearcut","B1R1controlS4_2018","B1R1controlS4","clearcut",2018,1,1,"control",4,0,NA,2018,2018,"Hylobius","dead",1,0,10,10,0,"","human",1,1,10,1,1,-1.96420491796519,10,-2.10206644048055,10,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS6 clearcut","B1R1controlS6_2018_clearcut","B1R1controlS6_2018","B1R1controlS6","clearcut",2018,1,1,"control",6,0,NA,2018,2018,"Hylobius","dead",1,0,240,100,0,"","Hylobius",1,1,240,1,1,0.185670981006957,240,0.228947238386717,240,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS8 clearcut","B1R1controlS8_2018_clearcut","B1R1controlS8_2018","B1R1controlS8","clearcut",2018,1,1,"control",8,0,NA,2018,2018,"Hylobius","dead",1,0,180,100,0,"","Hylobius",1,1,180,1,1,-0.0289314417086277,180,0.0177777455258481,180,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R1controlS9 clearcut","B1R1controlS9_2018_clearcut","B1R1controlS9_2018","B1R1controlS9","clearcut",2018,1,1,"control",9,0,NA,2018,2018,"Hylobius","dead",1,0,430,100,0,"","Hylobius",1,1,430,1,1,0.63397979258384,430,0.657001438175269,430,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS1 clearcut","B1R3collarS1_2019_clearcut","B1R3collarS1_2019","B1R3collarS1","clearcut",2019,1,3,"collar",1,43,9.8,2019,0,"alive","alive",0,0,900,100,0,"","alive",0,1,900,1,1,1.22833846844789,900,1.19917430846233,900,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS10 clearcut","B1R3collarS10_2019_clearcut","B1R3collarS10_2019","B1R3collarS10","clearcut",2019,1,3,"collar",10,25,4.8,2019,0,"alive","alive",0,0,30,10,0,"","alive",0,1,30,1,1,-1.27372005739375,30,-1.29725857221234,30,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS2 clearcut","B1R3collarS2_2019_clearcut","B1R3collarS2_2019","B1R3collarS2","clearcut",2019,1,3,"collar",2,31,7.7,2019,0,"alive","alive",0,0,2000,100,0,"","alive",0,1,2000,1,1,1.90592646143083,2000,1.78531577527327,2000,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS3 clearcut","B1R3collarS3_2019_clearcut","B1R3collarS3_2019","B1R3collarS3","clearcut",2019,1,3,"collar",3,51,13.4,2019,0,"alive","alive",0,0,850,100,0,"","alive",0,1,1050,0,1,1.1812533552609,850,1.15721741173417,850,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS3 clearcut","B1R3collarS3_2020_clearcut","B1R3collarS3_2020","B1R3collarS3","clearcut",2020,1,3,"collar",3,63,14.7,2020,0,"alive","alive",0,0,200,0,0,"Z","alive",0,1,1050,0,1,0.0491701892538407,200,0.0951161697214249,200,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS4 clearcut","B1R3collarS4_2019_clearcut","B1R3collarS4_2019","B1R3collarS4","clearcut",2019,1,3,"collar",4,31,7.8,2019,0,"alive","alive",0,0,350,80,0,"","alive",0,1,600,0,1,0.473660492266185,350,0.50589699789457,350,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS4 clearcut","B1R3collarS4_2020_clearcut","B1R3collarS4_2020","B1R3collarS4","clearcut",2020,1,3,"collar",4,44,9.8,2020,0,"alive","alive",0,0,250,0,0,"Z","alive",0,1,600,0,1,0.216469801751026,250,0.25891222405536,250,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS5 clearcut","B1R3collarS5_2019_clearcut","B1R3collarS5_2019","B1R3collarS5","clearcut",2019,1,3,"collar",5,31,7.2,2019,0,"alive","alive",0,0,80,40,0,"","alive",0,1,180,0,1,-0.611415617226524,80,-0.577459599102206,80,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS5 clearcut","B1R3collarS5_2020_clearcut","B1R3collarS5_2020","B1R3collarS5","clearcut",2020,1,3,"collar",5,32,8.3,2020,0,"alive","alive",0,0,100,0,0,"O","alive",0,1,180,0,1,-0.454372007384348,100,-0.413672214724168,100,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS6 clearcut","B1R3collarS6_2019_clearcut","B1R3collarS6_2019","B1R3collarS6","clearcut",2019,1,3,"collar",6,24,4.9,2019,0,"alive","alive",0,0,50,20,0,"","alive",0,1,50,1,1,-0.934384000059698,50,-0.922419318738443,50,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS7 clearcut","B1R3collarS7_2019_clearcut","B1R3collarS7_2019","B1R3collarS7","clearcut",2019,1,3,"collar",7,0,NA,2019,2019,"Hylobius","dead",1,0,1500,100,0,"G chýba","Hylobius",1,1,1500,1,1,1.65749305139867,1500,1.57414384016723,1500,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS8 clearcut","B1R3collarS8_2019_clearcut","B1R3collarS8_2019","B1R3collarS8","clearcut",2019,1,3,"collar",8,41,9,2019,0,"alive","alive",0,0,100,30,0,"","alive",0,1,150,0,1,-0.454372007384348,100,-0.413672214724168,100,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS8 clearcut","B1R3collarS8_2020_clearcut","B1R3collarS8_2020","B1R3collarS8","clearcut",2020,1,3,"collar",8,45,10.4,2020,0,"alive","alive",0,0,50,0,0,"Z","alive",0,1,150,0,1,-0.934384000059698,50,-0.922419318738443,50,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS9 clearcut","B1R3collarS9_2019_clearcut","B1R3collarS9_2019","B1R3collarS9","clearcut",2019,1,3,"collar",9,47,8.2,2019,0,"alive","alive",0,0,10,10,0,"","alive",0,1,160,0,1,-1.96420491796519,10,-2.10206644048055,10,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R3collarS9 clearcut","B1R3collarS9_2020_clearcut","B1R3collarS9_2020","B1R3collarS9","clearcut",2020,1,3,"collar",9,62,12.5,2020,0,"alive","alive",0,0,150,0,0,"Z","alive",0,1,160,0,1,-0.1627477737364,150,-0.116052232879533,150,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS10 clearcut","B1R4wax CS10_2018_clearcut","B1R4wax CS10_2018","B1R4wax CS10","clearcut",2018,1,4,"wax C",10,0,NA,2018,2018,"Hylobius","dead",1,1,40,30,0,"","other",1,2,40,1,1,-1.08408906271493,40,-1.08617575040892,40,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS2 clearcut","B1R4wax CS2_2019_clearcut","B1R4wax CS2_2019","B1R4wax CS2","clearcut",2019,1,4,"wax C",2,40,7.8,2019,0,"alive","alive",0,3,190,80,0,"","alive",0,4,1390,1,1,0.0110765318323206,190,0.0574650106150425,190,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS2 clearcut","B1R4wax CS2_2020_clearcut","B1R4wax CS2_2020","B1R4wax CS2","clearcut",2020,1,4,"wax C",2,0,NA,2020,2020,"Hylobius","dead",1,4,1200,0,0,"","Hylobius",1,5,1390,1,1,1.46816270367739,1200,1.41034618013232,1200,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS3 clearcut","B1R4wax CS3_2019_clearcut","B1R4wax CS3_2019","B1R4wax CS3","clearcut",2019,1,4,"wax C",3,46,10,2019,0,"alive","alive",0,3,1000,100,0,"","alive",0,4,3000,0,1,1.31561923480053,1000,1.27651376573764,1000,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS3 clearcut","B1R4wax CS3_2020_clearcut","B1R4wax CS3_2020","B1R4wax CS3","clearcut",2020,1,4,"wax C",3,46,15.5,2020,0,"alive","alive",0,4,2000,0,0,"","alive",0,5,3000,0,1,1.90592646143083,2000,1.78531577527327,2000,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS6 clearcut","B1R4wax CS6_2019_clearcut","B1R4wax CS6_2019","B1R4wax CS6","clearcut",2019,1,4,"wax C",6,63,17.9,2019,0,"alive","alive",0,2,800,70,0,"","alive",0,3,2300,0,1,1.13151554219072,800,1.11271616305002,800,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS6 clearcut","B1R4wax CS6_2020_clearcut","B1R4wax CS6_2020","B1R4wax CS6","clearcut",2020,1,4,"wax C",6,63,14.7,2020,0,"alive","alive",0,4,1500,0,0,"","alive",0,5,2300,0,1,1.65749305139867,1500,1.57414384016723,1500,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS7 clearcut","B1R4wax CS7_2019_clearcut","B1R4wax CS7_2019","B1R4wax CS7","clearcut",2019,1,4,"wax C",7,54,9.2,2019,0,"alive","alive",0,4,930,100,0,"","alive",0,4,2530,0,1,1.25543357509794,930,1.22324354333408,930,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS7 clearcut","B1R4wax CS7_2020_clearcut","B1R4wax CS7_2020","B1R4wax CS7","clearcut",2020,1,4,"wax C",7,54,12.9,2020,0,"alive","alive",0,3,1600,0,0,"","bad condition",0,4,2530,0,1,1.71279799964125,1600,1.62151809516678,1600,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS8 clearcut","B1R4wax CS8_2019_clearcut","B1R4wax CS8_2019","B1R4wax CS8","clearcut",2019,1,4,"wax C",8,56,13.4,2019,0,"alive","alive",0,2,950,100,0,"","alive",0,3,950,1,1,1.27304850264101,950,1.23886213083261,950,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R4wax CS9 clearcut","B1R4wax CS9_2019_clearcut","B1R4wax CS9_2019","B1R4wax CS9","clearcut",2019,1,4,"wax C",9,43,8.9,2019,0,"alive","alive",0,2,760,100,0,"","alive",0,3,760,1,1,1.08959564236769,760,1.07506453929672,760,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R5wax FS11 clearcut","B1R5wax FS11_2019_clearcut","B1R5wax FS11_2019","B1R5wax FS11","clearcut",2019,1,5,"wax F",11,38,12.9,2019,0,"alive","alive",0,2,1500,90,0,"","alive",0,3,1500,1,1,1.65749305139867,1500,1.57414384016723,1500,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R5wax FS2 clearcut","B1R5wax FS2_2020_clearcut","B1R5wax FS2_2020","B1R5wax FS2","clearcut",2020,1,5,"wax F",2,40,8,2020,0,"alive","alive",0,2,200,0,0,"","alive",0,3,200,0,1,0.0491701892538407,200,0.0951161697214249,200,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R5wax FS3 clearcut","B1R5wax FS3_2019_clearcut","B1R5wax FS3_2019","B1R5wax FS3","clearcut",2019,1,5,"wax F",3,27,5,2019,0,"alive","alive",0,4,1500,100,0,"","alive",0,5,4000,1,1,1.65749305139867,1500,1.57414384016723,1500,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B1R5wax FS3 clearcut","B1R5wax FS3_2020_clearcut","B1R5wax FS3_2020","B1R5wax FS3","clearcut",2020,1,5,"wax F",3,0,NA,2020,2020,"Hylobius","dead",1,0,1500,0,0,"","Hylobius",1,1,3100,1,1,1.65749305139867,1500,1.57414384016723,1500,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
